name,sensor_index,location,notes
,270898,,
,279253,,
,279251,,
,133435,,
,155503,,
,155501,,
,155521,,
,155533,,
,155537,,
,155567,,
,155569,,
,155591,,
,155595,,
,155597,,
,155601,,
,155607,,
,155605,,
,155613,,
,155629,,
,155639,,
,155673,,
,155679,,
,155691,,
,162991,,
,163031,,
,163169,,
